col 1,Time,col 2,col 3,col 4,col 5,col 6
80,09-Jan-21 01:51:08:513,00:00:02:29:096,44.658,0,23.496,0
81,09-Jan-21 01:51:10:368,00:00:02:30:951,44.679,0,23.497,0
82,09-Jan-21 01:51:12:223,00:00:02:32:806,44.698,0,23.496,0
83,09-Jan-21 01:51:14:079,00:00:02:34:662,44.714,0,23.495,0
84,09-Jan-21 01:51:15:935,00:00:02:36:518,44.727,0,23.494,0
85,09-Jan-21 01:51:17:791,00:00:02:38:374,44.741,0,23.49,0
86,09-Jan-21 01:51:19:647,00:00:02:40:230,44.761,0,23.485,0
87,09-Jan-21 01:51:21:505,00:00:02:42:088,44.769,0,23.484,0
88,09-Jan-21 01:51:23:362,00:00:02:43:945,44.763,0,23.484,0
89,09-Jan-21 01:51:25:219,00:00:02:45:802,44.758,0,23.484,0
90,09-Jan-21 01:51:27:075,00:00:02:47:658,44.751,0,23.48,0
91,09-Jan-21 01:51:28:930,00:00:02:49:513,44.743,0,23.475,0
92,09-Jan-21 01:51:30:786,00:00:02:51:369,44.735,0,23.474,0
93,09-Jan-21 01:51:32:641,00:00:02:53:224,44.727,0,23.475,0
94,09-Jan-21 01:51:34:497,00:00:02:55:080,44.72,0,23.479,0
95,09-Jan-21 01:51:36:352,00:00:02:56:935,44.713,0,23.483,0
96,09-Jan-21 01:51:38:209,00:00:02:58:792,44.707,0,23.486,0
97,09-Jan-21 01:51:40:065,00:00:03:00:648,44.702,0,23.486,0
98,09-Jan-21 01:51:41:921,00:00:03:02:504,44.696,0,23.49,0
99,09-Jan-21 01:51:43:776,00:00:03:04:359,44.69,0,23.494,0
100,09-Jan-21 01:51:45:631,00:00:03:06:214,44.686,0,23.497,0
101,09-Jan-21 01:51:47:489,00:00:03:08:072,44.68,0,23.499,0
102,09-Jan-21 01:51:49:344,00:00:03:09:927,44.674,0,23.501,0
103,09-Jan-21 01:51:51:200,00:00:03:11:783,44.669,0,23.5,0
104,09-Jan-21 01:51:53:055,00:00:03:13:638,44.664,0,23.5,0
105,09-Jan-21 01:51:54:910,00:00:03:15:493,44.66,0,23.502,0
106,09-Jan-21 01:51:56:764,00:00:03:17:347,44.656,0,23.502,0
107,09-Jan-21 01:51:58:623,00:00:03:19:206,44.652,0,23.499,0
108,09-Jan-21 01:52:00:479,00:00:03:21:062,44.649,0,23.499,0
109,09-Jan-21 01:52:02:338,00:00:03:22:921,44.643,0,23.501,0
110,09-Jan-21 01:52:04:194,00:00:03:24:777,44.638,0,23.502,0
111,09-Jan-21 01:52:06:052,00:00:03:26:635,44.633,0,23.502,0
112,09-Jan-21 01:52:07:908,00:00:03:28:491,44.629,0,23.5,0
113,09-Jan-21 01:52:09:764,00:00:03:30:347,44.624,0,23.498,0
114,09-Jan-21 01:52:11:620,00:00:03:32:203,44.621,0,23.497,0
115,09-Jan-21 01:52:13:476,00:00:03:34:059,44.616,0,23.494,0
116,09-Jan-21 01:52:15:331,00:00:03:35:914,44.613,0,23.492,0
117,09-Jan-21 01:52:17:186,00:00:03:37:769,44.609,0,23.49,0
118,09-Jan-21 01:52:19:042,00:00:03:39:625,44.605,0,23.488,0
119,09-Jan-21 01:52:20:900,00:00:03:41:483,44.602,0,23.487,0
120,09-Jan-21 01:52:22:755,00:00:03:43:338,44.598,0,23.488,0
121,09-Jan-21 01:52:24:612,00:00:03:45:195,44.593,0,23.487,0
122,09-Jan-21 01:52:26:469,00:00:03:47:052,44.588,0,23.486,0
123,09-Jan-21 01:52:28:327,00:00:03:48:910,44.583,0,23.483,0
124,09-Jan-21 01:52:30:183,00:00:03:50:766,44.578,0,23.486,0
125,09-Jan-21 01:52:32:038,00:00:03:52:621,44.574,0,23.486,0
126,09-Jan-21 01:52:33:896,00:00:03:54:479,44.57,0,23.487,0
127,09-Jan-21 01:52:35:752,00:00:03:56:335,44.567,0,23.488,0
128,09-Jan-21 01:52:37:608,00:00:03:58:191,44.563,0,23.488,0
129,09-Jan-21 01:52:39:463,00:00:04:00:046,44.56,0,23.487,0
130,09-Jan-21 01:52:41:320,00:00:04:01:903,44.557,0,23.487,0
131,09-Jan-21 01:52:43:176,00:00:04:03:759,44.553,0,23.488,0
132,09-Jan-21 01:52:45:032,00:00:04:05:615,44.55,0,23.49,0
133,09-Jan-21 01:52:46:889,00:00:04:07:472,44.547,0,23.493,0
134,09-Jan-21 01:52:48:746,00:00:04:09:329,44.543,0,23.494,0
135,09-Jan-21 01:52:50:602,00:00:04:11:185,44.54,0,23.495,0
136,09-Jan-21 01:52:52:458,00:00:04:13:041,44.537,0,23.496,0
137,09-Jan-21 01:52:54:313,00:00:04:14:896,44.533,0,23.499,0
138,09-Jan-21 01:52:56:169,00:00:04:16:752,44.529,0,23.504,0
139,09-Jan-21 01:52:58:025,00:00:04:18:608,44.526,0,23.506,0
140,09-Jan-21 01:52:59:880,00:00:04:20:463,44.523,0,23.508,0
141,09-Jan-21 01:53:01:739,00:00:04:22:322,44.52,0,23.51,0
142,09-Jan-21 01:53:03:594,00:00:04:24:177,44.516,0,23.51,0
143,09-Jan-21 01:53:05:450,00:00:04:26:033,44.513,0,23.509,0
144,09-Jan-21 01:53:07:306,00:00:04:27:889,44.51,0,23.508,0
145,09-Jan-21 01:53:09:164,00:00:04:29:747,44.508,0,23.504,0
146,09-Jan-21 01:53:11:022,00:00:04:31:605,44.504,0,23.503,0
147,09-Jan-21 01:53:12:877,00:00:04:33:460,44.499,0,23.501,0
148,09-Jan-21 01:53:14:734,00:00:04:35:317,44.495,0,23.499,0
149,09-Jan-21 01:53:16:591,00:00:04:37:174,44.489,0,23.499,0
150,09-Jan-21 01:53:18:447,00:00:04:39:030,44.485,0,23.502,0
151,09-Jan-21 01:53:20:302,00:00:04:40:885,44.482,0,23.504,0
152,09-Jan-21 01:53:22:157,00:00:04:42:740,44.479,0,23.506,0
153,09-Jan-21 01:53:24:013,00:00:04:44:596,44.475,0,23.501,0
154,09-Jan-21 01:53:25:868,00:00:04:46:451,44.472,0,23.494,0
155,09-Jan-21 01:53:27:727,00:00:04:48:310,44.47,0,23.489,0
156,09-Jan-21 01:53:29:581,00:00:04:50:164,44.466,0,23.489,0
157,09-Jan-21 01:53:31:440,00:00:04:52:023,44.462,0,23.49,0
158,09-Jan-21 01:53:33:296,00:00:04:53:879,44.457,0,23.489,0
159,09-Jan-21 01:53:35:153,00:00:04:55:736,44.453,0,23.492,0
160,09-Jan-21 01:53:37:011,00:00:04:57:594,44.45,0,23.493,0
161,09-Jan-21 01:53:38:866,00:00:04:59:449,44.446,0,23.494,0
162,09-Jan-21 01:53:40:721,00:00:05:01:304,44.443,0,23.494,0
163,09-Jan-21 01:53:42:578,00:00:05:03:161,44.438,0,23.496,0
164,09-Jan-21 01:53:44:433,00:00:05:05:016,44.433,0,23.498,0
165,09-Jan-21 01:53:46:288,00:00:05:06:871,44.429,0,23.499,0
166,09-Jan-21 01:53:48:144,00:00:05:08:727,44.426,0,23.5,0
167,09-Jan-21 01:53:50:000,00:00:05:10:583,44.422,0,23.501,0
168,09-Jan-21 01:53:51:855,00:00:05:12:438,44.417,0,23.503,0
169,09-Jan-21 01:53:53:710,00:00:05:14:293,44.413,0,23.505,0
170,09-Jan-21 01:53:55:568,00:00:05:16:151,44.41,0,23.506,0
171,09-Jan-21 01:53:57:423,00:00:05:18:006,44.409,0,23.508,0
172,09-Jan-21 01:53:59:280,00:00:05:19:863,44.409,0,23.509,0
173,09-Jan-21 01:54:01:135,00:00:05:21:718,44.411,0,23.51,0
174,09-Jan-21 01:54:02:991,00:00:05:23:574,44.414,0,23.507,0
175,09-Jan-21 01:54:04:846,00:00:05:25:429,44.416,0,23.504,0
176,09-Jan-21 01:54:06:701,00:00:05:27:284,44.42,0,23.504,0
177,09-Jan-21 01:54:08:558,00:00:05:29:141,44.423,0,23.502,0
178,09-Jan-21 01:54:10:414,00:00:05:30:997,44.427,0,23.5,0
179,09-Jan-21 01:54:12:269,00:00:05:32:852,44.432,0,23.5,0
180,09-Jan-21 01:54:14:125,00:00:05:34:708,44.439,0,23.5,0
181,09-Jan-21 01:54:15:982,00:00:05:36:565,44.445,0,23.5,0
182,09-Jan-21 01:54:17:840,00:00:05:38:423,44.45,0,23.501,0
183,09-Jan-21 01:54:19:696,00:00:05:40:279,44.456,0,23.501,0
184,09-Jan-21 01:54:21:553,00:00:05:42:136,44.464,0,23.501,0
185,09-Jan-21 01:54:23:407,00:00:05:43:990,44.474,0,23.501,0
186,09-Jan-21 01:54:25:263,00:00:05:45:846,44.483,0,23.502,0
187,09-Jan-21 01:54:27:119,00:00:05:47:702,44.492,0,23.502,0
188,09-Jan-21 01:54:28:976,00:00:05:49:559,44.503,0,23.501,0
189,09-Jan-21 01:54:30:833,00:00:05:51:416,44.513,0,23.501,0
190,09-Jan-21 01:54:32:691,00:00:05:53:274,44.526,0,23.5,0
191,09-Jan-21 01:54:34:547,00:00:05:55:130,44.534,0,23.498,0
192,09-Jan-21 01:54:36:404,00:00:05:56:987,44.544,0,23.495,0
193,09-Jan-21 01:54:38:259,00:00:05:58:842,44.555,0,23.495,0
194,09-Jan-21 01:54:40:116,00:00:06:00:699,44.566,0,23.493,0
195,09-Jan-21 01:54:41:970,00:00:06:02:553,44.583,0,23.493,0
196,09-Jan-21 01:54:43:827,00:00:06:04:410,44.596,0,23.494,0
197,09-Jan-21 01:54:45:683,00:00:06:06:266,44.606,0,23.498,0
198,09-Jan-21 01:54:47:539,00:00:06:08:122,44.619,0,23.499,0
199,09-Jan-21 01:54:49:394,00:00:06:09:977,44.633,0,23.499,0
200,09-Jan-21 01:54:51:250,00:00:06:11:833,44.646,0,23.497,0
201,09-Jan-21 01:54:53:105,00:00:06:13:688,44.666,0,23.498,0
202,09-Jan-21 01:54:54:961,00:00:06:15:544,44.686,0,23.499,0
203,09-Jan-21 01:54:56:817,00:00:06:17:400,44.708,0,23.501,0
204,09-Jan-21 01:54:58:671,00:00:06:19:254,44.724,0,23.498,0
205,09-Jan-21 01:55:00:527,00:00:06:21:110,44.741,0,23.495,0
206,09-Jan-21 01:55:02:382,00:00:06:22:965,44.754,0,23.495,0
207,09-Jan-21 01:55:04:238,00:00:06:24:821,44.771,0,23.495,0
208,09-Jan-21 01:55:06:095,00:00:06:26:678,44.79,0,23.494,0
209,09-Jan-21 01:55:07:953,00:00:06:28:536,44.812,0,23.494,0
210,09-Jan-21 01:55:09:812,00:00:06:30:395,44.832,0,23.492,0
211,09-Jan-21 01:55:11:667,00:00:06:32:250,44.85,0,23.491,0
212,09-Jan-21 01:55:13:523,00:00:06:34:106,44.846,0,23.49,0
213,09-Jan-21 01:55:15:378,00:00:06:35:961,44.834,0,23.491,0
214,09-Jan-21 01:55:17:236,00:00:06:37:819,44.831,0,23.49,0
215,09-Jan-21 01:55:19:093,00:00:06:39:676,44.819,0,23.489,0
216,09-Jan-21 01:55:20:949,00:00:06:41:532,44.809,0,23.489,0
217,09-Jan-21 01:55:22:804,00:00:06:43:387,44.8,0,23.488,0
218,09-Jan-21 01:55:24:661,00:00:06:45:244,44.793,0,23.487,0
219,09-Jan-21 01:55:26:516,00:00:06:47:099,44.785,0,23.488,0
220,09-Jan-21 01:55:28:373,00:00:06:48:956,44.777,0,23.488,0
221,09-Jan-21 01:55:30:230,00:00:06:50:813,44.77,0,23.489,0
